From_1,From_2,From_3,From_4,Base symbol,Base unit,Conversion,Type,Dimension,VALID,
Gal,galileo,,gal,m/s2,meter per second squared,1.0000000000000000E-02,acceleration,L/t^2,TRUE,
ozf,oz,,ounce_force_(avoirdupois),N,newton,2.7801385095378100E-01,force,M L / t^2,TRUE,
lbf,lb,,pound_force_(avoirdupois),N,newton,4.4482216152605000E+00,force,M L / t^2,TRUE,
kip,klbf,,kilopound_force,N,newton,4.4482216152605000E+03,force,M L / t^2,TRUE,
tonf,ton,,ton_force,N,newton,8.8964432305210000E+03,force,M L / t^2,TRUE,
dyn,,,dyne,N,newton,1.0000000000000000E-05,force,M L / t^2,TRUE,
kgf,,,kilogram-force,N,newton,9.8066500000000000E+00,force,M L / t^2,TRUE,
kp,,,kilopond_(kilogram-force),N,newton,9.8066500000000000E+00,force,M L / t^2,TRUE,
pdl,,,poundal,N,newton,1.3825495437600000E-01,force,M L / t^2,TRUE,
YN,,,yottameter,m,meter,1.0000000000000000E+24,force,M L / t^2,FALSE,
ZN,,,zettameter,m,meter,1.0000000000000000E+21,force,M L / t^2,FALSE,
EN,,,exameter,m,meter,1.0000000000000000E+18,force,M L / t^2,FALSE,
PN,,,petameter,m,meter,1.0000000000000000E+15,force,M L / t^2,FALSE,
TN,,,terameter,m,meter,1.0000000000000000E+12,force,M L / t^2,FALSE,
GN,,,gigameter,m,meter,1.0000000000000000E+09,force,M L / t^2,FALSE,
MN,,,megameter,m,meter,1.0000000000000000E+06,force,M L / t^2,FALSE,
kN,,,kilometer,m,meter,1.0000000000000000E+03,force,M L / t^2,FALSE,
hN,,,hectometer,m,meter,1.0000000000000000E+02,force,M L / t^2,FALSE,
daN,,,decameter,m,meter,1.0000000000000000E+01,force,M L / t^2,FALSE,
N,,,meter,m,meter,1.0000000000000000E+00,force,M L / t^2,FALSE,
dN,,,decimeter,m,meter,1.0000000000000000E-01,force,M L / t^2,FALSE,
cN,,,centimeter,m,meter,1.0000000000000000E-02,force,M L / t^2,FALSE,
mN,,,millimeter,m,meter,1.0000000000000000E-03,force,M L / t^2,FALSE,
uN,micron,,micrometer,m,meter,1.0000000000000000E-06,force,M L / t^2,FALSE,
nN,,,nanometer,m,meter,1.0000000000000000E-09,force,M L / t^2,FALSE,
pN,fermi,,picometer,m,meter,1.0000000000000000E-12,force,M L / t^2,FALSE,
fN,,,femtometer,m,meter,1.0000000000000000E-15,force,M L / t^2,FALSE,
aN,,,attometer,m,meter,1.0000000000000000E-18,force,M L / t^2,FALSE,
zN,,,zeptometer,m,meter,1.0000000000000000E-21,force,M L / t^2,FALSE,
yN,,,yoctometer,m,meter,1.0000000000000000E-24,force,M L / t^2,FALSE,
atm,,,"atmosphere,_standard",Pa,pascal,1.0132500000000000E+05,pressure,M / L t^2,TRUE,
atm_t,,,"atmosphere,_technical",Pa,pascal,9.8066500000000000E+04,pressure,M / L t^2,TRUE,
in_Hg,,,inch_of_mercury_(32F),Pa,pascal,3.3863886403410000E+03,pressure,M / L t^2,TRUE,
ft_Hg,,,foot_of_mercury_(32F),Pa,pascal,4.0636663684092000E+04,pressure,M / L t^2,TRUE,
mm_Hg,,,millimeter_of_mercury_(32F),Pa,pascal,1.3332238741500000E+02,pressure,M / L t^2,TRUE,
cm_Hg,,,centimeter_of_mercury_(32F),Pa,pascal,1.3332238741500000E+03,pressure,M / L t^2,TRUE,
in_Hg_60,,,inch_of_mercury_(60F),Pa,pascal,3.3768500000000000E+03,pressure,M / L t^2,TRUE,
mm_H20,,,millimeters_of_water_(4C),Pa,pascal,9.8063800000000000E+00,pressure,M/L t^2,FALSE,
cm_H20,,,centimeter_of_water_(4C),Pa,pascal,9.8063800000000000E+01,pressure,M / L t^2,FALSE,
in_H20,,,inch_of_water_(4C),Pa,pascal,2.4908205200000000E+02,pressure,M / L t^2,FALSE,
ft_H20,,,feet_of_water_(4C),Pa,pascal,2.9889846240000000E+03,pressure,M / L t^2,FALSE,
cm_H20_c,,,"centimeter_of_water,_conventional",Pa,pascal,9.8066500000000000E+01,pressure,M / L t^2,TRUE,
in_H20_60,,,inch_of_water_(60F),Pa,pascal,2.4884000000000000E+02,pressure,M / L t^2,FALSE,
psi,,,pound-force_per_square_inch,Pa,pascal,6.8947572931683600E+03,pressure,M / L t^2,TRUE,
ksi,,,kip_per_square_inch,Pa,pascal,6.8947572931683600E+06,pressure,M / L t^2,TRUE,
psf,,,pound-force_per_square_foot,Pa,pascal,8.2737087518020300E+04,pressure,M / L t^2,TRUE,
mTorr,,,milli_torr,Pa,pascal,1.3332236842105300E-01,pressure,M / L t^2,TRUE,
Torr,,,torr,Pa,pascal,1.3332236842105300E+02,pressure,M / L t^2,TRUE,
Ybar,,,yottabar,Pa,pascal,1.0000000000000000E+29,pressure,M / L t^2,TRUE,
Zbar,,,zettabar,Pa,pascal,1.0000000000000000E+26,pressure,M / L t^2,TRUE,
Ebar,,,exabar,Pa,pascal,1.0000000000000000E+23,pressure,M / L t^2,TRUE,
Pbar,,,petabar,Pa,pascal,1.0000000000000000E+20,pressure,M / L t^2,TRUE,
Tbar,,,terabar,Pa,pascal,1.0000000000000000E+17,pressure,M / L t^2,TRUE,
Gbar,,,gigabar,Pa,pascal,1.0000000000000000E+14,pressure,M / L t^2,TRUE,
Mbar,,,megabar,Pa,pascal,1.0000000000000000E+11,pressure,M / L t^2,TRUE,
kbar,,,kilobar,Pa,pascal,1.0000000000000000E+08,pressure,M / L t^2,TRUE,
hbar,,,hectobar,Pa,pascal,1.0000000000000000E+07,pressure,M / L t^2,TRUE,
dabar,,,decabar,Pa,pascal,1.0000000000000000E+06,pressure,M / L t^2,TRUE,
bar,,,bar,Pa,pascal,1.0000000000000000E+05,pressure,M / L t^2,TRUE,
dbar,,,decibar,Pa,pascal,1.0000000000000000E+04,pressure,M / L t^2,TRUE,
cbar,,,centibar,Pa,pascal,1.0000000000000000E+03,pressure,M / L t^2,TRUE,
mbar,,,millibar,Pa,pascal,1.0000000000000000E+02,pressure,M / L t^2,TRUE,
ubar,,,microbar,Pa,pascal,1.0000000000000000E-01,pressure,M / L t^2,TRUE,
nbar,,,nanobar,Pa,pascal,1.0000000000000000E-04,pressure,M / L t^2,TRUE,
pbar,,,picobar,Pa,pascal,1.0000000000000000E-07,pressure,M / L t^2,TRUE,
fbar,,,femtobar,Pa,pascal,1.0000000000000000E-10,pressure,M / L t^2,TRUE,
abar,,,attobar,Pa,pascal,1.0000000000000000E-13,pressure,M / L t^2,TRUE,
zbar,,,zeptobar,Pa,pascal,1.0000000000000000E-16,pressure,M / L t^2,TRUE,
ybar,,,yoctobar,Pa,pascal,1.0000000000000000E-19,pressure,M / L t^2,TRUE,
YPa,,,yottapascal,Pa,pascal,1.0000000000000000E+24,pressure,M / L t^2,TRUE,
ZPa,,,zettapascal,Pa,pascal,1.0000000000000000E+21,pressure,M / L t^2,TRUE,
EPa,,,exapascal,Pa,pascal,1.0000000000000000E+18,pressure,M / L t^2,TRUE,
PPa,,,petapascal,Pa,pascal,1.0000000000000000E+15,pressure,M / L t^2,TRUE,
TPa,,,terapascal,Pa,pascal,1.0000000000000000E+12,pressure,M / L t^2,TRUE,
GPa,,,gigapascal,Pa,pascal,1.0000000000000000E+09,pressure,M / L t^2,TRUE,
MPa,,,megapascal,Pa,pascal,1.0000000000000000E+06,pressure,M / L t^2,TRUE,
kPa,,,kilopascal,Pa,pascal,1.0000000000000000E+03,pressure,M / L t^2,TRUE,
hPa,,,hectopascal,Pa,pascal,1.0000000000000000E+02,pressure,M / L t^2,TRUE,
daPa,,,decapascal,Pa,pascal,1.0000000000000000E+01,pressure,M / L t^2,TRUE,
Pa,,,pascal,Pa,pascal,1.0000000000000000E+00,pressure,M / L t^2,TRUE,
dPa,,,decipascal,Pa,pascal,1.0000000000000000E-01,pressure,M / L t^2,TRUE,
cPa,,,centipascal,Pa,pascal,1.0000000000000000E-02,pressure,M / L t^2,TRUE,
mPa,,,millipascal,Pa,pascal,1.0000000000000000E-03,pressure,M / L t^2,TRUE,
uPa,,,micropascal,Pa,pascal,1.0000000000000000E-06,pressure,M / L t^2,TRUE,
nPa,,,nanopascal,Pa,pascal,1.0000000000000000E-09,pressure,M / L t^2,TRUE,
pPa,,,picopascal,Pa,pascal,1.0000000000000000E-12,pressure,M / L t^2,TRUE,
fPa,,,femtopascal,Pa,pascal,1.0000000000000000E-15,pressure,M / L t^2,TRUE,
aPa,,,attopascal,Pa,pascal,1.0000000000000000E-18,pressure,M / L t^2,TRUE,
zPa,,,zeptopascal,Pa,pascal,1.0000000000000000E-21,pressure,M / L t^2,TRUE,
yPa,,,yoctopascal,Pa,pascal,1.0000000000000000E-24,pressure,M / L t^2,TRUE,
BTU,Btu,,British_thermal_unit_IT,N m,joule,1.0550558526200000E+03,energy,M L^2 / t^2,TRUE,
BTU_th,Btu_th,,British_thermal_unit_thermochemical,N m,joule,1.0543502644400000E+03,energy,M L^2 / t^2,TRUE,
BTU_m,Btu_m,,British_thermal_unit_(mean),N m,joule,1.0558700000000000E+03,energy,M L^2 / t^2,TRUE,
BTU_39,Btu_39,,British_thermal_unit_(39¯F),N m,joule,1.0596700000000000E+03,energy,M L^2 / t^2,TRUE,
BTU_59,Btu_59,,British_thermal_unit_(59¯F),N m,joule,1.0548040000000000E+03,energy,M L^2 / t^2,TRUE,
BTU_60,Btu_60,,British_thermal_unit_(60¯F),N m,joule,1.0546800000000000E+03,energy,M L^2 / t^2,TRUE,
therm,,,therm_(EC),N m,joule,1.0550558526200000E+08,energy,M L^2 / t^2,TRUE,
therm_us,,,therm_(US),N m,joule,1.0548040000000000E+08,energy,M L^2 / t^2,TRUE,
quad,,,quad,N m,joule,1.0550558526200000E+18,energy,M L^2 / t^2,TRUE,
quad_us,,,quad_(US),N m,joule,1.0596700000000000E+18,energy,M L^2 / t^3,TRUE,
cal,,,calorie_IT,N m,joule,4.1868000000000000E+00,energy,M L^2 / t^2,TRUE,
cal_th,,,calorie_th,N m,joule,4.1840000000000000E+00,energy,M L^2 / t^2,TRUE,
cal_m,,,calorie_(mean),N m,joule,4.1900200000000000E+00,energy,M L^2 / t^2,FALSE,
cal_15,,,calorie_(15¯C),N m,joule,4.1858000000000000E+00,energy,M L^2 / t^2,FALSE,
cal_20,,,calorie_(20¯C),N m,joule,4.1819000000000000E+00,energy,M L^2 / t^2,FALSE,
kcal,,,kilocalorie_IT,N m,joule,4.1868000000000000E+03,energy,M L^2 / t^2,TRUE,
kcal_th,,,kilocalorie_th,N m,joule,4.1840000000000000E+03,energy,M L^2 / t^2,TRUE,
kcal_m,,,kilocalorie_(mean),N m,joule,4.1900200000000000E+03,energy,M L^2 / t^2,TRUE,
eV,,,electron_volt,N m,joule,1.6021765650000000E-19,energy,M L^2 / t^2,TRUE,
erg,,,erg,N m,joule,1.0000000000000000E-07,energy,M L^2 / t^2,TRUE,
kW h,,,kilowatt_hour,N m,joule,3.6000000000000000E+06,energy,M L^2 / t^2,TRUE,
ton_tnt,,,ton_of_TNT,N m,joule,4.1840000000000000E+09,energy,M L^2 / t^2,TRUE,
YJ,,,yottajoule,N m,joule,1.0000000000000000E+24,energy,M L^2 / t^2,TRUE,
ZJ,,,zettajoule,N m,joule,1.0000000000000000E+21,energy,M L^2 / t^2,TRUE,
EJ,,,exajoule,N m,joule,1.0000000000000000E+18,energy,M L^2 / t^2,TRUE,
PJ,,,petajoule,N m,joule,1.0000000000000000E+15,energy,M L^2 / t^2,TRUE,
TJ,,,terajoule,N m,joule,1.0000000000000000E+12,energy,M L^2 / t^2,TRUE,
GJ,,,gigajoule,N m,joule,1.0000000000000000E+09,energy,M L^2 / t^2,TRUE,
MJ,,,megajoule,N m,joule,1.0000000000000000E+06,energy,M L^2 / t^2,TRUE,
kJ,,,kilojoule,N m,joule,1.0000000000000000E+03,energy,M L^2 / t^2,TRUE,
hJ,,,hectojoule,N m,joule,1.0000000000000000E+02,energy,M L^2 / t^2,TRUE,
daJ,,,decajoule,N m,joule,1.0000000000000000E+01,energy,M L^2 / t^2,TRUE,
J,,,joule,N m,joule,1.0000000000000000E+00,energy,M L^2 / t^2,TRUE,
dJ,,,decijoule,N m,joule,1.0000000000000000E-01,energy,M L^2 / t^2,TRUE,
cJ,,,centijoule,N m,joule,1.0000000000000000E-02,energy,M L^2 / t^2,TRUE,
mJ,,,millijoule,N m,joule,1.0000000000000000E-03,energy,M L^2 / t^2,TRUE,
uJ,,,microjoule,N m,joule,1.0000000000000000E-06,energy,M L^2 / t^2,TRUE,
nJ,,,nanojoule,N m,joule,1.0000000000000000E-09,energy,M L^2 / t^2,TRUE,
pJ,,,picojoule,N m,joule,1.0000000000000000E-12,energy,M L^2 / t^2,TRUE,
fJ,,,femtojoule,N m,joule,1.0000000000000000E-15,energy,M L^2 / t^2,TRUE,
aJ,,,attojoule,N m,joule,1.0000000000000000E-18,energy,M L^2 / t^2,TRUE,
zJ,,,zeptojoule,N m,joule,1.0000000000000000E-21,energy,M L^2 / t^2,TRUE,
yJ,,,yoctojoule,N m,joule,1.0000000000000000E-24,energy,M L^2 / t^2,TRUE,
hp,,,horsepower,N m/s,watt,7.4569987158227000E+02,power,M L^2 / t^3,TRUE,
YW,,,yottawatt,N m/s,watt,1.0000000000000000E+24,power,M L^2 / t^3,TRUE,
ZW,,,zettawatt,N m/s,watt,1.0000000000000000E+21,power,M L^2 / t^3,TRUE,
EW,,,exawatt,N m/s,watt,1.0000000000000000E+18,power,M L^2 / t^3,TRUE,
PW,,,petawatt,N m/s,watt,1.0000000000000000E+15,power,M L^2 / t^3,TRUE,
TW,,,terawatt,N m/s,watt,1.0000000000000000E+12,power,M L^2 / t^3,TRUE,
GW,,,gigawatt,N m/s,watt,1.0000000000000000E+09,power,M L^2 / t^3,TRUE,
MW,,,megawatt,N m/s,watt,1.0000000000000000E+06,power,M L^2 / t^3,TRUE,
kW,,,kilowatt,N m/s,watt,1.0000000000000000E+03,power,M L^2 / t^3,TRUE,
hW,,,hectowatt,N m/s,watt,1.0000000000000000E+02,power,M L^2 / t^3,TRUE,
daW,,,decawatt,N m/s,watt,1.0000000000000000E+01,power,M L^2 / t^3,TRUE,
W,,,watt,N m/s,watt,1.0000000000000000E+00,power,M L^2 / t^3,TRUE,
dW,,,deciwatt,N m/s,watt,1.0000000000000000E-01,power,M L^2 / t^3,TRUE,
cW,,,centiwatt,N m/s,watt,1.0000000000000000E-02,power,M L^2 / t^3,TRUE,
mW,,,milliwatt,N m/s,watt,1.0000000000000000E-03,power,M L^2 / t^3,TRUE,
uW,,,microwatt,N m/s,watt,1.0000000000000000E-06,power,M L^2 / t^3,TRUE,
nW,,,nanowatt,N m/s,watt,1.0000000000000000E-09,power,M L^2 / t^3,TRUE,
pW,,,picowatt,N m/s,watt,1.0000000000000000E-12,power,M L^2 / t^3,TRUE,
fW,,,femtowatt,N m/s,watt,1.0000000000000000E-15,power,M L^2 / t^3,TRUE,
aW,,,attowatt,N m/s,watt,1.0000000000000000E-18,power,M L^2 / t^3,TRUE,
zW,,,zeptowatt,N m/s,watt,1.0000000000000000E-21,power,M L^2 / t^3,TRUE,
yW,,,yoctowatt,N m/s,watt,1.0000000000000000E-24,power,M L^2 / t^3,TRUE,
abfarad ,,,abfarad,F,farad,1.0000000000000000E+09,capacitance,L,FALSE,
statfarad,,,ESU_of_capacitance_(statfarad),F,farad,1.1126500000000000E-12,capacitance,L,FALSE,
statfarad ,,,statfarad,F,farad,1.1126500000000000E-12,capacitance,L,FALSE,
abcoulomb ,,,abcoulomb,C,coulomb,1.0000000000000000E+01,charge,M^(1/2) L^(3/2) / t,FALSE,
amp hr,,,ampere_hour,C,coulomb,3.6000000000000000E+03,charge,M^(1/2) L^(3/2) / t,FALSE,
faraday,,,faraday_(based_on_carbon_12),C,coulomb,9.6485340000000000E+04,charge,M^(1/2) L^(3/2) / t,FALSE,
Fr,,,franklin,C,coulomb,3.3356410000000000E-10,charge,M^(1/2) L^(3/2) / t,FALSE,
statcoulomb ,,,statcoulomb,C,coulomb,3.3356410000000000E-10,charge,M^(1/2) L^(3/2) / t,FALSE,
abmho ,,,abmho,S,siemens,1.0000000000000000E+09,conductance,L / t,FALSE,
mho,,,mho,S,siemens,1.0000000000000000E+00,conductance,L / t,FALSE,
statmho ,,,statmho,S,siemens,1.1126500000000000E-12,conductance,L / t,FALSE,
abamp,,,abampere,A,ampere,1.0000000000000000E+01,current,M^(1/2) L^(3/2) / t^2,FALSE,
biot,,,biot,A,ampere,1.0000000000000000E+01,current,M^(1/2) L^(3/2) / t^2,FALSE,
statampere,,,ESU_of_current_(statampere),A,ampere,3.3356410000000000E-10,current,M^(1/2) L^(3/2) / t^2,FALSE,
Gi,,,gilbert,A,ampere,7.9577470000000000E-01,current,M^(1/2) L^(3/2) / t^2,FALSE,
statampere ,statamp,,statampere,A,ampere,3.3356410000000000E-10,current,M^(1/2) L^(3/2) / t^2,FALSE,
abhenry ,,,abhenry,H,henry,1.0000000000000000E-09,inductance,t^2/L,FALSE,
stathenry,,,ESU_of_inductance_(stathenry),H,henry,8.9875520000000000E+11,inductance,t^2 / L,FALSE,
stathenry ,,,stathenry,H,henry,8.9875520000000000E+11,inductance,t^2 / L,FALSE,
Oe,,,oersted,A/m,ampere per meter,7.9577470000000000E+01,magnetic field strength,M^(1/2) L^(1/2) / t^2,FALSE,
Mx,,,maxwell,Wb,weber,1.0000000000000000E-08,magnetic flux,M^(1/2) L^(1/2),FALSE,
unit_pole,,,unit_pole,Wb,weber,1.2566370000000000E-07,magnetic flux,M^(1/2) L^(1/2),FALSE,
?,,,gamma,T,tesla,1.0000000000000000E-09,magnetic flux density,M^(1/2) / L^(3/2),FALSE,
Gs,G,,gauss,T,tesla,1.0000000000000000E-04,magnetic flux density,M^(1/2) / L^(3/2),FALSE,
abvolt ,,,abvolt,V,volt,1.0000000000000000E-08,potential,M^(1/2) L^(1/2) / t,FALSE,
statvolt,,,ESU_of_electric_potential_(statvolt),V,volt,2.9979250000000000E+02,potential,M^(1/2) L^(1/2) / t,FALSE,
statvolt ,,,statvolt_,V,volt,2.9979250000000000E+02,potential,M^(1/2) L^(1/2) / t,FALSE,
abohm ,,,abohm_,Í,ohm,1.0000000000000000E-09,resistance,t / L,FALSE,
statohm,,,ESU_of_resistance_(statohm),Í,ohm,8.9875520000000000E+11,resistance,t / L,FALSE,
statohm ,,,statohm,Í,ohm,8.9875520000000000E+11,resistance,t / L,FALSE,
clo,,,clo_,m2 K/W,square meter kelvin per watt,1.5500000000000000E+01,thermal insulance,t^3 T / M,FALSE,
cd/in2,,,candela_per_square_inch,cd/m2,candela per square meter,1.5500030000000000E+09,luminance,J / L^2,FALSE,
fc,,,foot_candle,lx,lux,1.0763910000000000E+01,luminance,,FALSE,
fl,,,foot_lambert,cd/m2,candela per square meter,3.4262590000000000E+06,luminance,J / L^2,FALSE,
Lb,,,lambert,cd/m2,candela per square meter,3.1830990000000000E+09,luminance,J / L^2,FALSE,
lm/ft2,,,lumen_per_square_foot,lx,lux,1.0763910000000000E+01,luminance,J / L^2,FALSE,
ph,,,phot,lx,lux,1.0000000000000000E+04,luminance,J / L^2,FALSE,
cP,,,centipoise,Pa s,pascal second,1.0000000000000000E-03,dynamic viscosity,M / L t,FALSE,
P,,,poise,Pa s,pascal second,1.0000000000000000E-01,dynamic viscosity,M / L t,FALSE,
rhe,,,rhe_,1/Pa s,reciprocal pascal second),1.0000000000000000E+01,reciprocal dynamic viscosity,L t / M,FALSE,
YSt,,,yottastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
ZSt,,,zettastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
ESt,,,exastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
PSt,,,petastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
TSt,,,terastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
GSt,,,gigastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
MSt,,,megastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
kSt,,,kilostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
hSt,,,hectostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
daSt,,,decastoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
St,,,stoke,m2/s,meter squared per second,1.0000000000000000E-04,kinematic viscosity,L^2 / t,TRUE,
dSt,,,decistoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
cSt,,,centistoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
mSt,,,millistoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
uSt,,,microstoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
nSt,,,nanostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
pSt,,,picostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
fSt,,,femtostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
aSt,,,attostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
zSt,,,zeptostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
ySt,,,yoctostoke,m2/s,meter squared per second,0.0000000000000000E+00,kinematic viscosity,L^2 / t,TRUE,
GPM,gpm,,gallon_(US)_per_minute,m3/s,cubic meter per second,6.3090196400000000E-05,volume rate,L^3 / t,TRUE,
CFM,cfm,,cubic_feet_per_minute,m3/s,cubic meter per second,4.7194744320000000E-04,volume rate,L^3 / t,TRUE,
LPM,lpm,,cubic_feet_per_minute,m3/s,cubic meter per second,1.6666666666666700E-05,volume rate,L^3 / t,TRUE,
